County,Density per square mile of land area - Population,Percentage of diabetics
Burke County,1.8,9.4
Burleigh County,3.8,7.8
Cass County,2.4,7.2
Cavalier County,5.3,10.4
Dickey County,1.7,10.6
Divide County,46.5,9.9
Dunn County,1.4,10
Eddy County,3.4,10.1
Emmons County,2.2,11.4
Foster County,1.8,10.4
Golden Valley County,3.6,9.1
Grand Forks County,2,6.2
Grant County,2.9,11.1
Griggs County,2.9,11.2
Hettinger County,2.3,9.9
Kidder County,4.2,10.3
LaMoure County,8.1,11.1
Logan County,14.3,11.5
McHenry County,4.2,8.8
McIntosh County,3.2,10.9
McKenzie County,2.6,9.1
McLean County,6.6,10.6
Mercer County,4.3,9.2
Morton County,9.6,7.6
Mountrail County,6.3,9.6
Nelson County,2.8,10.6
Oliver County,11.4,10.8
Pembina County,15.4,12
Pierce County,4.5,10.8
Ramsey County,1.4,9.1
Ransom County,3.8,10.6
Renville County,0.6,10.4
Richland County,18.1,8.5
Rolette County,2.8,13.9
Sargent County,9.5,9.8
Sheridan County,2.2,12.5
Sioux County,9.4,12.4
Slope County,8.7,9.8
Stark County,30.6,9.1
Steele County,3.3,10.9
Stutsman County,10.8,8.4
Towner County,48.9,10.6
Traill County,264.2,9.2
Walsh County,125.6,10.6
Ward County,144.6,8.3
Wells County,128.6,11.6
Williams County,114.5,8.2
Adams County,132.3,10.7
Allen County,91.5,13.6
Ashland County,788.2,11.8
Ashtabula County,73.1,12.7
Athens County,93.5,10.9
Auglaize County,348,11.7
Belmont County,436.5,14.3
Brown County,102.9,13.9
Butler County,202.7,11.5
Carroll County,65.4,12.7
Champaign County,109,11.2
Clark County,2800,13.1
Clermont County,88.5,10.5
Clinton County,94.9,10.6
Columbiana County,393.2,11.7
Coshocton County,306.4,13.6
Crawford County,289.8,13.3
Cuyahoga County,71.4,11.2
Darke County,2186.1,11.6
Defiance County,105.3,10.7
Delaware County,66.3,8.7
Erie County,233.4,11.2
Fairfield County,390.5,9.6
Fayette County,76.8,11.9
Franklin County,1976.7,9.6
Fulton County,140.7,11.3
Gallia County,68.1,13.4
Geauga County,39.4,9.9
Greene County,67.8,9.5
Guernsey County,78.8,13.3
Hamilton County,69.7,11.6
Hancock County,100.3,10.9
Hardin County,121.3,9.8
Harrison County,79,12.9
Henry County,170.7,11.1
Highland County,115.9,12.5
Hocking County,1011.2,11.4
Holmes County,137.7,9.4
Huron County,243.9,10.4
Jackson County,100,12.9
Jefferson County,613.6,14.9
Knox County,1296.2,11.1
Lake County,93.2,11.4
Lawrence County,580.2,13.1
Licking County,164.7,11.8
Logan County,409,14.2
Lorain County,55.3,11.2
Lucas County,88.3,11.6
Madison County,252.1,9.1
Mahoning County,32.1,12.5
Marion County,1159.5,12.3
Medina County,36.2,10.7
Meigs County,85.8,14
Mercer County,129.5,9.7
Miami County,36.8,11
Monroe County,162.5,12.6
Montgomery County,47.1,13
Morgan County,88.4,14.2
Morrow County,111.1,12.2
Muskingum County,65.2,12.1
Noble County,331.2,13.3
Ottawa County,99.7,12.3
Paulding County,71.5,10.7
Perry County,251.3,11.7
Pickaway County,113.3,11.6
Pike County,149.2,14.9
Portage County,130.3,9.3
Preble County,103,11.1
Putnam County,121.2,10.6
Richland County,652.9,11.4
Ross County,1312.6,12.2
Sandusky County,340.1,12
Scioto County,163.1,12.4
Seneca County,121.1,11.3
Shelby County,70.3,11.1
Stark County,32.6,11.9
Summit County,530,10
Trumbull County,97.8,11.4
Tuscarawas County,206.4,9.3
Union County,89.4,10.9
Van Wert County,203.3,13
Vinton County,55.6,12.6
Warren County,39.6,9.3
Washington County,6.5,12.1
Wayne County,14.5,10.4
Williams County,3.1,13.4
Wood County,24.5,10.9
Wyandot County,12.9,12.1
Adair County,46.9,14.4
Alfalfa County,23.2,13.8
Atoka County,128.9,12.8
Beaver County,57.8,12.1
Beckham County,62.7,10.1
Blaine County,19.7,13.2
Bryan County,1.3,11.7
Caddo County,474.7,11.5
Canadian County,11.5,11.2
Carter County,116.1,12.8
Cherokee County,9.8,12.2
Choctaw County,19.7,15.3
Cimarron County,73.6,12.6
Cleveland County,27.8,9.4
Coal County,56.2,13.3
Comanche County,4.8,11.3
Cotton County,3.4,13.9
Craig County,57.2,13.5
Creek County,34.4,12.3
Custer County,47.6,10.9
Delaware County,4.5,15.5
Dewey County,9.8,13.6
Ellis County,5.4,12.7
Garfield County,3.5,10.8
Garvin County,22.1,12.3
Grady County,17.4,10.9
Grant County,32.9,13
Greer County,8.5,11.7
Harmon County,17,13.5
Harper County,50.6,11.9
Haskell County,16.7,14.8
Hughes County,9.3,14.1
Jackson County,15.4,11.8
Jefferson County,31.7,13.3
Johnston County,36,12.8
Kay County,56.3,13.4
Kingfisher County,18.3,11.3
Kiowa County,60.5,14.6
Latimer County,17.9,13
Le Flore County,32.7,13.9
Lincoln County,7.9,13
Logan County,42.7,13.6
Love County,63,12.3
McClain County,32.4,11.4
McCurtain County,87.6,12.4
McIntosh County,15.8,15.3
Major County,18.6,12.7
Marshall County,19.7,13
Mayes County,1013.8,14.7
Murray County,57.5,13.3
Muskogee County,21.1,13.5
Noble County,67.6,12
Nowata County,29.2,13.2
Okfuskee County,113,13.4
Oklahoma County,35.1,10.5
Okmulgee County,52,13.3
Osage County,88.2,12.8
Ottawa County,8.3,14.2
Pawnee County,3.2,14.2
Payne County,128.6,7.5
Pittsburg County,40.3,14.3
Pontotoc County,63,10.5
Pottawatomie County,51.8,13.3
Pushmataha County,10.1,16.1
Roger Mills County,9.2,12.7
Rogers County,1058.1,10.9
Seminole County,130.1,13.6
Sequoyah County,122.7,13.9
Stephens County,11.6,12.5
Texas County,6.9,9.2
Tillman County,16.2,12.6
Tulsa County,5.3,10.3
Wagoner County,126.6,14.2
Washington County,201,13.1
Washita County,44.7,11.8
Woods County,75.1,10.7
Woodward County,39.5,10.8
Baker County,7,9.9
Benton County,13.7,6.2
Clackamas County,52.3,8.7
Clatsop County,21.4,10.3
Columbia County,1.6,10.4
Coos County,1.6,10.4
Crook County,0.7,10.3
Curry County,42.8,11.7
Deschutes County,73,7.3
Douglas County,12.2,12.2
Gilliam County,50.4,10.4
Grant County,11.2,11
Harney County,1,11.6
Hood River County,77.2,7.9
Jackson County,47,9.4
Jefferson County,50.9,8.6
Josephine County,3.2,11
Klamath County,266.7,9.7
Lake County,5.5,10
Lane County,1704.9,8.6
Lincoln County,101.8,12.3
Linn County,2.1,10
Malheur County,22.9,9.1
Marion County,23.6,9.6
Morrow County,12.6,9.1
Multnomah County,2.2,7.6
Polk County,10.6,10
Sherman County,731.4,10.2
Tillamook County,0.8,9.2
Umatilla County,138.6,10.6
Union County,195.5,9
Wallowa County,1675.6,10.1
Wasco County,105.5,10.5
Washington County,392.3,7.5
Wheeler County,49.2,11.6
Yamhill County,480.4,7.9
Adams County,241.7,11.5
Allegheny County,54.6,9
Armstrong County,1034.7,11.6
Beaver County,233.1,11.6
Bedford County,208.7,13.6
Berks County,12.8,10.1
Blair County,171.1,10.9
Bradford County,138.7,10.7
Bucks County,664.7,9.3
Butler County,66.6,10.2
Cambria County,71.3,12.6
Cameron County,44.2,11.7
Carbon County,139.3,11.3
Centre County,87.7,7.2
Chester County,431.6,8.3
Clarion County,510.6,10.8
Clearfield County,3040.5,12.4
Clinton County,38.6,9.3
Columbia County,351.1,11.5
Crawford County,172.8,11.8
Cumberland County,18.1,9.5
Dauphin County,193.7,12.1
Delaware County,33.9,8.3
Elk County,67.2,12.8
Erie County,52.5,10.6
Fayette County,107.5,13.3
Forest County,69.3,11.6
Franklin County,63,10.1
Fulton County,467.1,11.8
Greene County,550.4,10.3
Huntingdon County,254.4,10.6
Indiana County,369.1,10.3
Jefferson County,1012.5,13.5
Juniata County,360.4,11.5
Lackawanna County,94.5,12.3
Lancaster County,44.4,10.1
Lawrence County,173.4,11.3
Lebanon County,113.6,10.1
Lehigh County,279.2,10.7
Luzerne County,1655.9,11.7
Lycoming County,140.3,9.9
McKean County,805.4,10.3
Mercer County,206.2,12.1
Mifflin County,83.4,12.1
Monroe County,11379.5,9.6
Montgomery County,105.3,7.9
Montour County,16.1,12.7
Northampton County,190.4,9.7
Northumberland County,120.8,11.8
Perry County,72.4,10.3
Philadelphia County,14.3,11.7
Pike County,52.7,10.4
Potter County,37,11.7
Schuylkill County,142.2,10.9
Snyder County,81.5,10.5
Somerset County,47.3,11.4
Sullivan County,242.5,13
Susquehanna County,72.8,12.6
Tioga County,355.4,11.1
Union County,71.2,10.7
Venango County,481.1,11.4
Warren County,2064,12.4
Washington County,985.9,11.3
Wayne County,809.6,12
Westmoreland County,1530.3,10.8
Wyoming County,385.7,10
York County,51.8,10.2
Bristol County,149.5,7.3
Kent County,25.5,9.3
Newport County,261.6,8.1
Providence County,40.6,9.4
Washington County,41.2,7.4
Abbeville County,281.5,13.4
Aiken County,161.8,11.6
Allendale County,39.8,16.8
Anderson County,382.3,12
Bamberg County,140.9,16.7
Barnwell County,57.1,13.6
Beaufort County,58.5,9.2
Berkeley County,57.6,12.8
Calhoun County,36.8,17.7
Charleston County,122.4,10.8
Cherokee County,79.2,12.6
Chester County,238.2,14
Chesterfield County,53.9,13.3
Clarendon County,34.9,15.9
Colleton County,171.1,16.6
Darlington County,73.9,15.4
Dillon County,574.7,14.6
Dorchester County,153.2,9.9
Edgefield County,37.7,12.8
Fairfield County,237.5,17.9
Florence County,37.8,13.7
Georgetown County,84.9,13.6
Greenville County,139.6,10.6
Greenwood County,93.2,10.7
Hampton County,46.9,17
Horry County,375.4,11.3
Jasper County,28.5,13.3
Kershaw County,67.6,11.9
Lancaster County,60.3,13.5
Laurens County,59.5,14.7
Lee County,118.6,14.9
Lexington County,83.6,10.8
McCormick County,240.2,14.4
Marion County,507.9,16.7
Marlboro County,43.9,14.2
Newberry County,351.9,13.8
Oconee County,161.6,12.9
Orangeburg County,56.3,16.2
Pickens County,36.8,10.8
Richland County,332.2,11.1
Saluda County,3.8,13.4
Spartanburg County,13.8,12.3
Sumter County,2.9,14.8
Union County,12.5,15.7
Williamsburg County,40.3,17.4
York County,21.3,9.5
Aurora County,6.4,9.7
Beadle County,4.1,8.9
Bennett County,4.5,13.5
Bon Homme County,2,9.3
Brookings County,8.3,5.8
Brown County,3.9,8.1
Brule County,33.6,9.2
Buffalo County,39.5,17.4
Butte County,1.6,7.7
Campbell County,5.3,10.8
Charles Mix County,44.8,11
Clark County,5.6,8.8
Clay County,7,7.1
Codington County,2.3,8.3
Corson County,7,16.3
Custer County,3.6,10.4
Davison County,4.1,8.8
Day County,2.4,10.6
Deuel County,10.8,8.7
Dewey County,4.2,16.4
Douglas County,1.1,10.1
Edmunds County,11.6,8.6
Fall River County,2.4,11.9
Faulk County,7.7,10
Grant County,0.5,9.6
Gregory County,23,10.5
Haakon County,9,9.3
Hamlin County,1.7,9
Hand County,1.6,9.7
Hanson County,3.9,8.2
Harding County,1,8.8
Hughes County,6.2,8.9
Hutchinson County,19.9,9.6
Hyde County,30.1,10.3
Jackson County,77.7,11.4
Jerauld County,2.3,9.4
Jones County,9.8,9.8
Kingsbury County,2.2,8.9
Lake County,5.6,8.7
Lawrence County,7.3,7.4
Lincoln County,1.6,6
Lyman County,4.2,11
McCook County,210,9.3
McPherson County,12.5,10.3
Marshall County,36.4,9.4
Meade County,1,8.2
Mellette County,2.7,13
Miner County,9.2,9.6
Minnehaha County,4.1,8.1
Moody County,6.5,9.6
Pennington County,4.3,8.3
Perkins County,2.1,9.7
Potter County,1.4,10.5
Roberts County,6.9,12.4
Sanborn County,3.5,9.8
Shannon County,13.5,17
Spink County,31.3,9.6
Stanley County,7.7,10.3
Sully County,43.1,8.9
Todd County,1.4,16.3
Tripp County,222.8,12
Turner County,95.1,8.9
Union County,41.8,8.4
Walworth County,31.7,10.5
Yankton County,220.2,8
Ziebach County,301,14.9
Anderson County,84.8,12.6
Bedford County,52,11.6
Benton County,47.6,14.8
Bledsoe County,168.3,12.3
Blount County,129.3,11.6
Bradley County,60,14.4
Campbell County,74.1,12.5
Cannon County,33.2,11.8
Carroll County,82.1,13.8
Carter County,123.1,15
Cheatham County,54.9,10.7
Chester County,82.3,13.1
Claiborne County,1243.3,14.9
Clay County,35.2,13.2
Cocke County,61.5,13.8
Coffee County,101.4,13.6
Crockett County,74.8,13.5
Cumberland County,54.5,15.2
Davidson County,36,10.5
Decatur County,74,14.6
DeKalb County,82.4,13.1
Dickson County,48.3,13.1
Dyer County,80.7,12.3
Fayette County,110.6,14.3
Fentress County,38,13.2
Franklin County,388,10.6
Gibson County,620.3,12.1
Giles County,30.7,11.7
Grainger County,40.8,11.3
Greene County,45.1,13.8
Grundy County,116.7,13.7
Hamblen County,35.2,13.6
Hamilton County,53.4,11.6
Hancock County,57.5,13.7
Hardeman County,40.3,13.6
Hardin County,42.1,13.8
Hawkins County,34.9,13.4
Haywood County,37.7,15.6
Henderson County,187.6,13.1
Henry County,61.1,15
Hickman County,850.5,12.5
Houston County,47.2,13.4
Humphreys County,58.9,14.6
Jackson County,67.8,11.8
Jefferson County,43.1,11.3
Johnson County,58.5,14.6
Knox County,211.8,11
Lake County,121.5,11.3
Lauderdale County,46.3,14
Lawrence County,72.4,12.8
Lewis County,176.4,12.5
Lincoln County,56.7,11.5
Loudon County,81.5,14.2
McMinn County,132,12.7
McNairy County,60.2,14.2
Macon County,70,11.6
Madison County,319.6,13.4
Marion County,49.2,13
Marshall County,42.1,13
Maury County,58.4,11.5
Meigs County,50.9,13.2
Monroe County,19.1,14
Montgomery County,31.2,9.7
Moore County,38.7,12.4
Morgan County,180.3,11.4
Obion County,100.9,13.6
Overton County,150.2,13.4
Perry County,139.2,13.9
Pickett County,424,14.2
Polk County,41.8,13.3
Putnam County,53.1,12.5
Rhea County,151.7,13.6
Roane County,1215.5,12.8
Robertson County,61,11.4
Rutherford County,29,9.6
Scott County,379.4,12.2
Sequatchie County,303.4,12.3
Sevier County,133.3,11.2
Shelby County,68.9,12.2
Smith County,98.4,11.4
Stewart County,85.5,14.5
Sullivan County,20.3,14.5
Sumner County,92.1,11.2
Tipton County,376.7,12.3
Trousdale County,23.2,12.2
Unicoi County,60.3,13
Union County,68.6,13.1
Van Buren County,314.4,12.7
Warren County,199.7,13.3
Washington County,55,11.3
Wayne County,9.9,11.5
Weakley County,108.8,13.3
White County,91.9,12.6
Williamson County,10,9.8
Wilson County,2.1,11.6
Anderson County,36.8,11.8
Andrews County,44,9.9
Angelina County,8.7,11.5
Aransas County,25.9,12
Archer County,83.5,12.8
Armstrong County,4.3,11.2
Atascosa County,36.2,10.2
Austin County,295.2,10.3
Bailey County,1383.1,9.8
Bandera County,14.8,13.6
Bastrop County,0.7,10.3
Baylor County,18.5,11.8
Bee County,104.6,9.5
Bell County,230.7,8.5
Bexar County,332.8,9.5
Blanco County,1.5,11.4
Borden County,1.8,11.9
Bosque County,7.7,10.9
Bowie County,40.3,11.5
Brazoria County,26.1,9.4
Brazos County,43,7.1
Brewster County,69.8,9
Briscoe County,42.2,12.1
Brooks County,15.1,11
Brown County,456,10.2
Burleson County,63.3,11.9
Burnet County,6.7,10.7
Caldwell County,32.5,9.7
Calhoun County,9,11
Callahan County,58.8,10.8
Cameron County,48.3,8.9
Camp County,10.1,12.3
Carson County,9.9,10.9
Cass County,4,12.3
Castro County,3.6,10.3
Chambers County,7,10
Cherokee County,930,12.4
Childress County,3.3,10
Clay County,21.7,12.5
Cochran County,193.9,11.3
Coke County,14.9,12.8
Coleman County,4.2,12.1
Collin County,43.9,8.4
Collingsworth County,71.7,11.1
Colorado County,1.7,11.7
Comal County,5.6,9.8
Comanche County,1.3,10.7
Concho County,6.7,9.4
Cooke County,0.6,10.6
Coryell County,4.5,8.3
Cottle County,2718,12.7
Crane County,15.4,9.9
Crockett County,12.9,10.6
Crosby County,20.4,10.7
Culberson County,754.3,10.7
Dallam County,22.1,9.1
Dallas County,2.7,9.3
Dawson County,7.5,10
Deaf Smith County,4,9.5
Delta County,6.6,12.1
Denton County,20.1,8.3
DeWitt County,152.8,11.3
Dickens County,0.9,11.1
Dimmit County,159.9,10.9
Donley County,790.6,11.8
Duval County,35,10
Eastland County,23.3,12.5
Ector County,38.1,10
Edwards County,25.8,11.8
Ellis County,4.4,10.3
El Paso County,6.5,9
Erath County,1.9,9.4
Falls County,679.5,12.4
Fannin County,37.3,10.9
Fayette County,22.6,11.6
Fisher County,15.2,12.3
Floyd County,11.7,11.9
Foard County,769.9,12.6
Fort Bend County,7.2,8
Franklin County,23.5,10.9
Freestone County,1.4,11.5
Frio County,8.5,9.1
Gaines County,18.6,9.4
Galveston County,24.3,10.7
Garza County,129.6,9
Gillespie County,445.4,12.1
Glasscock County,33.8,10.1
Goliad County,184.9,12.1
Gonzales County,36.1,11.8
Gray County,3.8,11.6
Grayson County,10.2,10.4
Gregg County,6.1,11.6
Grimes County,6,11.5
Guadalupe County,61.3,9.1
Hale County,2402.4,10.4
Hall County,72.9,12.2
Hamilton County,4.1,12.9
Hansford County,6.5,10.5
Hardeman County,231.7,11.8
Hardin County,4.2,11.4
Harris County,89.9,8.2
Harrison County,493.2,11.1
Hartley County,36.6,10.2
Haskell County,25.2,11.7
Hays County,121.7,7.5
Hemphill County,45.8,9.7
Henderson County,19.3,10.1
Hidalgo County,38.9,10.6
Hill County,0.8,10.1
Hockley County,102.5,8.9
Hood County,25,10.9
Hopkins County,1.5,10.5
Houston County,9.9,12.8
Howard County,17,11.2
Hudspeth County,38,11
Hunt County,1,10.5
Hutchinson County,287.9,10.4
Irion County,4.7,11.3
Jack County,47.2,10.2
Jackson County,208.3,11.3
Jasper County,21.8,12.6
Jeff Davis County,19.8,12.8
Jefferson County,132.4,13.2
Jim Hogg County,50.4,10.4
Jim Wells County,0.3,9.4
Johnson County,0.9,12.2
Jones County,45,9.7
Karnes County,3.7,9.4
Kaufman County,0.3,10.1
Kendall County,2.6,10.4
Kenedy County,36.4,10.3
Kent County,4.4,12.7
Kerr County,54.9,12.5
Kimble County,13.8,12
King County,27.6,10.6
Kinney County,4.6,11.6
Kleberg County,19.9,8.7
Knox County,26.4,11.5
Lamar County,15.7,12.9
Lamb County,65.3,9.9
Lampasas County,25.8,10.7
La Salle County,3.5,9
Lavaca County,11.1,12.2
Lee County,20.7,11.7
Leon County,0.1,13.3
Liberty County,311.3,10.6
Limestone County,6.6,12.2
Lipscomb County,7.8,10.4
Live Oak County,226.5,11.8
Llano County,0.6,13.6
Loving County,29.3,10.9
Lubbock County,27.7,8.8
Lynn County,5.2,11.1
McCulloch County,4.3,11.3
McLennan County,33.4,10
McMullen County,42.4,13.2
Madison County,34.7,10.2
Marion County,2.5,13.6
Martin County,152,10
Mason County,24.3,12.2
Matagorda County,6.6,11.3
Maverick County,10.3,9.1
Medina County,21.2,10.1
Menard County,437.5,12.4
Midland County,24.3,8.6
Milam County,51.3,11.8
Mills County,1.2,12.7
Mitchell County,68.2,9.5
Montague County,47.3,10.6
Montgomery County,15.5,8.9
Moore County,16.7,9.5
Morris County,405.8,12.3
Motley County,11.1,13.2
Nacogdoches County,1.4,10.3
Navarro County,245.3,11.7
Newton County,29.5,12.9
Nolan County,29.7,11.1
Nueces County,129.4,9.8
Ochiltree County,11.7,8.7
Oldham County,3.3,10.6
Orange County,43,10.6
Palo Pinto County,133.3,12.3
Panola County,2,11.6
Parker County,47.6,11.3
Parmer County,132.4,9.2
Pecos County,2.9,10
Polk County,4.7,12.2
Potter County,12.4,9.8
Presidio County,5.2,9.9
Rains County,9.6,11.6
Randall County,1,9.2
Reagan County,19.4,9.9
Real County,616.7,12.3
Red River County,10,13.4
Reeves County,57.7,8.9
Refugio County,22,11.5
Roberts County,16.7,11.1
Robertson County,46.3,12.1
Rockwall County,93.5,8.8
Runnels County,5.4,10.9
Rusk County,2.6,11.7
Sabine County,18.7,14
San Augustine County,3.7,14.1
San Jacinto County,32,12.4
San Patricio County,3.3,10.9
San Saba County,227.6,10.9
Schleicher County,45.5,10
Scurry County,49.8,9.2
Shackelford County,10.7,11
Shelby County,1.2,12
Sherman County,1.6,10.2
Smith County,2.8,10.7
Somervell County,8.8,10.3
Starr County,2094.7,9.3
Stephens County,143.6,11.2
Sterling County,0.4,10.5
Stonewall County,14.2,12.8
Sutton County,1.8,10.8
Swisher County,79.6,10.8
Tarrant County,72.4,10
Taylor County,1034.4,10.3
Terrell County,21,10.2
Terry County,23.5,11.7
Throckmorton County,67.4,11.9
Titus County,2.7,9
Tom Green County,17,9.6
Travis County,15.5,6.2
Trinity County,62.4,13.1
Tyler County,98.4,11.7
Upshur County,86.5,13.1
Upton County,84.1,10.7
Uvalde County,12.8,10.4
Val Verde County,55.8,9.7
Van Zandt County,74.5,12.3
Victoria County,38,11.6
Walker County,5.9,9.5
Waller County,209.5,10.1
Ward County,13.9,9.9
Washington County,37.5,10.8
Webb County,378,9.4
Wharton County,53.4,10.9
Wheeler County,8.5,11.4
Wichita County,65.4,11.2
Wilbarger County,65,11
Willacy County,9.9,8.8
Williamson County,20.3,8.6
Wilson County,14,9.2
Winkler County,9,9.6
Wise County,2.6,9.1
Wood County,8.7,12.6
Yoakum County,96.7,9.3
Young County,14.5,11.3
Zapata County,1.5,8.3
Zavala County,1025.8,9.4
Beaver County,5.7,8.1
Box Elder County,2.5,8.7
Cache County,1,6.5
Carbon County,2.5,9.3
Daggett County,14,9.1
Davis County,3,6.9
Duchesne County,1.8,8.3
Emery County,1.9,7.7
Garfield County,15.5,8.8
Grand County,2.1,7.5
Iron County,2.2,7.2
Juab County,1387.1,7.6
Kane County,1.9,10.4
Millard County,17.5,9.4
Morgan County,10.9,7.6
Piute County,19.4,10.5
Rich County,8.4,8.7
Salt Lake County,7.3,6.9
San Juan County,257.8,10.2
Sanpete County,20,8
Sevier County,56.9,10.4
Summit County,1.1,4
Tooele County,401.4,9
Uintah County,48,8.2
Utah County,55,5.7
Wasatch County,48.1,6.2
Washington County,291.7,7.2
Wayne County,9.5,9.1
Weber County,75.3,8.3
Addison County,85.2,7.1
Bennington County,53.3,8.8
Caledonia County,42.1,8.4
Chittenden County,39.3,6
Essex County,66.3,10.2
Franklin County,86.6,8.4
Grand Isle County,56.7,7.6
Lamoille County,58.5,7.3
Orange County,73.8,8
Orleans County,137.3,8.5
Rutland County,36.5,9
Washington County,35.7,7.6
Windham County,68.3,7.5
Windsor County,44.9,8
Accomack County,7993.5,12.9
Albemarle County,76.3,10.3
Alleghany County,8.9,10.1
Amelia County,91.2,11.8
Amherst County,19.1,14.8
Appomattox County,61.2,11
Arlington County,30.8,5.3
Augusta County,47.9,9.8
Bath County,29.6,11.6
Bedford County,108.8,10.3
Bland County,54.1,11.6
Botetourt County,63.3,11.8
Brunswick County,39.7,12.7
Buchanan County,26.5,12.4
Buckingham County,747.1,13.5
Campbell County,79.7,10
Caroline County,15.7,11.9
Carroll County,123.1,11
Charles City County,33.8,14.2
Charlotte County,48.1,12.3
Chesterfield County,55.6,9.8
Clarke County,43.4,11.1
Craig County,2766.8,11.1
Culpeper County,100.7,10.1
Cumberland County,40.2,13.2
Dickenson County,89.8,11.4
Dinwiddie County,81.3,12.7
Essex County,189.4,13.8
Fairfax County,48.6,6.6
Fauquier County,169.2,10.4
Floyd County,77.2,11.3
Fluvanna County,35.1,10.5
Franklin County,117.8,12.1
Frederick County,41.5,9.1
Giles County,44.3,12
Gloucester County,213.1,12.4
Goochland County,1313.4,11.4
Grayson County,141.6,11.9
Greene County,5.6,9.8
Greensville County,111.8,13.3
Halifax County,470.4,13.8
Hanover County,22,9.6
Henrico County,131.3,10.3
Henry County,58.2,14.6
Highland County,85.5,12.9
Isle of Wight County,58.8,13.4
James City County,605.8,10.7
King and Queen County,66.8,12.4
King George County,29.9,10.5
King William County,41.5,10.5
Lancaster County,104.5,13.7
Lee County,52.3,10
Loudoun County,84.1,7.5
Louisa County,243.9,10.8
Lunenburg County,31.9,13.4
Madison County,87.9,11.2
Mathews County,58.5,13.3
Mecklenburg County,64.5,12.9
Middlesex County,50.4,12.6
Montgomery County,98.2,7.4
Nelson County,77.3,12.4
New Kent County,38.3,11.1
Northampton County,65.5,16.3
Northumberland County,107.8,13.5
Nottoway County,66.8,12.2
Orange County,134.7,11.7
Page County,1195,11.4
Patrick County,109,12.3
Pittsylvania County,27.7,13.3
Powhatan County,48.3,10.6
Prince Edward County,368.7,10.7
Prince George County,37.3,12.5
Prince William County,89.9,7.6
Pulaski County,61,10.6
Rappahannock County,43.3,11.5
Richmond County,82.5,11.8
Roanoke County,71.4,11.2
Rockbridge County,31,12.7
Rockingham County,304.9,10
Russell County,479.5,11.6
Scott County,25.3,11.9
Shenandoah County,24.7,11.7
Smyth County,86.9,10.6
Southampton County,176,14.6
Spotsylvania County,97.8,11.3
Stafford County,76.1,8.6
Surry County,102.8,14.1
Sussex County,63.3,13.5
Tazewell County,624.8,13.1
Warren County,9314.3,10.7
Washington County,904.6,11.7
Westmoreland County,1370.6,13.4
Wise County,992,13.2
Wythe County,4246.3,11.1
York County,652,9.4
Alexandria city,2315.3,6.2
Bedford city,1090.1,13.3
Bristol city,1002.8,11.7
Buena Vista city,859.8,10.1
Charlottesville city,3616.6,7.5
Chesapeake city,6169.8,10.9
Colonial Heights city,1045.8,11.3
Covington city,2326.2,11
Danville city,854.7,13.5
Emporia city,2673.2,13.2
Fairfax city,2808.2,8.1
Falls Church city,2197.9,9.7
Franklin city,2820.3,13.2
Fredericksburg city,1538.2,9.2
Galax city,3827.8,10.8
Hampton city,5633.1,12.5
Harrisonburg city,1261.5,7.2
Hopewell city,2630,15
Lexington city,4486.3,9.3
Lynchburg city,529.1,11.6
Manassas city,1413.8,8.7
Manassas Park city,793.3,8.5
Martinsville city,2838.9,13.7
Newport News city,1662.2,12.6
Norfolk city,3414.7,10.2
Norton city,2279.8,10
Petersburg city,1718,16
Poquoson city,1188.8,10.9
Portsmouth city,211.4,14.8
Radford city,1758.9,7.2
Richmond city,1396.8,9.7
Roanoke city,1559.3,11.4
Salem city,2838.1,10.4
Staunton city,9.7,11.4
Suffolk city,34,11.1
Virginia Beach city,103,8.8
Waynesboro city,24.8,10.8
Williamsburg city,41.1,9.5
Winchester city,676.2,10.1
Adams County,4.7,10.3
Asotin County,89.8,12.4
Benton County,21.1,9.6
Chelan County,3.4,9.1
Clallam County,62.9,11.8
Clark County,3.2,9.4
Columbia County,33.3,11.6
Cowlitz County,38.3,11
Douglas County,376.6,9.4
Ferry County,16.6,9.2
Franklin County,912.9,8.7
Garfield County,635.9,14.7
Grant County,17.8,8.3
Grays Harbor County,10.9,12.8
Island County,31.4,10.2
Jefferson County,4.6,9.8
King County,63.3,6.8
Kitsap County,7.8,8.1
Kittitas County,22.4,6.8
Klickitat County,9.3,10.3
Lewis County,476.3,10
Lincoln County,90.7,10.4
Mason County,67.5,10.1
Okanogan County,6.7,10.1
Pacific County,341.8,13
Pend Oreille County,267.2,9.9
Pierce County,17.6,9.6
San Juan County,349.4,7
Skagit County,15.1,8.3
Skamania County,46.3,8.3
Snohomish County,95.5,8.6
Spokane County,20.7,9
Stevens County,56.6,9.5
Thurston County,48.6,9.8
Wahkiakum County,324.4,12.2
Walla Walla County,49.1,9.5
Whatcom County,28.4,8.2
Whitman County,269.8,7.2
Yakima County,342.8,9.5
Barbour County,27.3,12.2
Berkeley County,27.5,11.6
Boone County,25.7,13.2
Braxton County,69.6,15.2
Brooke County,25.7,14.7
Cabell County,25,13.4
Calhoun County,34.8,14.7
Clay County,37.4,13.9
Doddridge County,371.3,12
Fayette County,24.1,13.2
Gilmer County,166.1,11.1
Grant County,62.9,18.7
Greenbrier County,255.2,12.7
Hampshire County,214.1,12
Hancock County,42.5,13.5
Hardy County,49.7,12.2
Harrison County,81,12.1
Jackson County,41.5,12.7
Jefferson County,182.7,11.6
