County,Density per square mile of land area - Population,Percentage of diabetics
Huntington County,435.8,13.2
Jackson County,74.5,11.8
Jasper County,145.6,11.5
Jay County,97.8,12.7
Jefferson County,994.1,11
Jennings County,186.3,11.2
Johnson County,102.7,10.4
Knox County,291.3,10
Kosciusko County,2279.6,9.7
LaGrange County,106.1,10.5
Lake County,30.8,12.9
LaPorte County,98.7,9.9
Lawrence County,349.7,15.6
Madison County,75.6,12.4
Marion County,170.5,10.9
Marshall County,35.5,10.9
Martin County,115.7,11.2
Miami County,71.1,10.9
Monroe County,49.8,8.5
Montgomery County,56,11.7
Morgan County,39,10.8
Newton County,50.7,11.8
Noble County,38.4,10.8
Ohio County,393,11.9
Orange County,63.3,11.7
Owen County,30.9,12.2
Parke County,79,11.7
Perry County,57.9,10.7
Pike County,64.6,12.9
Porter County,42.6,8.9
Posey County,583,11
Pulaski County,127,13.6
Putnam County,108.1,11.8
Randolph County,52.8,13.6
Ripley County,75.6,10
Rush County,110.7,11.9
St. Joseph County,48,9.5
Scott County,48.1,11.9
Shelby County,345.7,11.2
Spencer County,61.2,10.6
Starke County,46.6,10.5
Steuben County,769.7,11.8
Sullivan County,63.1,12
Switzerland County,267.4,13.2
Tippecanoe County,79.7,8.6
Tipton County,23.3,12.2
Union County,155.1,11.4
Vanderburgh County,55,12.7
Vermillion County,171.5,13
Vigo County,75.1,9.6
Wabash County,48.8,13.4
Warren County,99.2,11.6
Warrick County,13.5,10.8
Washington County,9.5,10.5
Wayne County,22.4,10.2
Wells County,25.9,10.8
White County,13.8,11.3
Whitley County,36.4,9.9
Adair County,231.7,11.2
Adams County,46,9.5
Allamakee County,55.7,8.9
Appanoose County,36.7,9.6
Audubon County,35.2,11.1
Benton County,25.6,9.7
Black Hawk County,17,9.7
Boone County,36.6,9.4
Bremer County,24.7,9.7
Buchanan County,31.9,10.3
Buena Vista County,77.7,10
Butler County,20.9,9.5
Calhoun County,24.7,10.9
Carroll County,21.5,9.1
Cass County,29.4,8.7
Cedar County,23.3,10.7
Cerro Gordo County,70.7,11.1
Cherokee County,23.9,10.2
Chickasaw County,112.4,9.1
Clarke County,17.4,9.1
Clay County,15.9,8.8
Clayton County,30.7,8.4
Clinton County,96.9,11
Crawford County,43.8,8.9
Dallas County,154,8.3
Davis County,26,11
Decatur County,28.6,9.5
Delaware County,32.6,9.8
Des Moines County,18.4,12.6
Dickinson County,14.6,9
Dubuque County,16.4,9.5
Emmet County,24.8,9.3
Fayette County,18.5,10.5
Floyd County,27.2,11.1
Franklin County,19.9,9.7
Fremont County,30.8,9.9
Greene County,21.4,9.7
Grundy County,46.4,10.2
Guthrie County,20.2,9.3
Hamilton County,22.6,10.6
Hancock County,16.4,9.9
Hardin County,27.9,9.7
Harrison County,31.2,9
Henry County,50.4,10.7
Howard County,38.7,10.2
Humboldt County,213.1,10.3
Ida County,35.9,10.4
Iowa County,18.1,9.4
Jackson County,16,11.2
Jasper County,69.3,10.7
Jefferson County,294.6,10.1
Johnson County,28.3,5.5
Jones County,20.7,9.2
Keokuk County,19.7,10
Kossuth County,27.9,11.2
Lee County,39.2,10
Linn County,60.1,9
Louisa County,71,10.2
Lucas County,34.4,10.3
Lyon County,23,9
Madison County,13.3,9.5
Mahaska County,18.4,9.3
Marion County,25.3,8.8
Marshall County,97.7,10
Mills County,25.1,9
Mitchell County,16.2,9.9
Monona County,29.8,10.6
Monroe County,16.7,10.4
Montgomery County,29,9.9
Muscatine County,12.7,9.7
O'Brien County,750.5,9.9
Osceola County,98,9.7
Page County,32.3,11.5
Palo Alto County,9.6,10.9
Plymouth County,18,9.5
Pocahontas County,360.7,12.6
Polk County,20.6,7.8
Pottawattamie County,43.9,10.5
Poweshiek County,156.3,9
Ringgold County,24.6,10.4
Sac County,11.9,9.8
Scott County,29.6,8.7
Shelby County,15.6,10.8
Sioux County,82.5,7.4
Story County,81.1,5.5
Tama County,38.2,11.2
Taylor County,12.2,10.5
Union County,53.1,12.4
Van Buren County,27.1,10.7
Wapello County,30.5,11.1
Warren County,117.1,9.2
Washington County,19,10
Wayne County,22.8,11.4
Webster County,26.7,10.3
Winnebago County,14,10.1
Winneshiek County,39.3,7.8
Woodbury County,4.3,9.4
Worth County,30.9,10.5
Wright County,23.9,9.5
Allen County,17.5,10.8
Anderson County,46.1,9.4
Atchison County,3.6,10.4
Barber County,5.7,10.7
Barton County,36.8,10.4
Bourbon County,2.7,10.3
Brown County,2.3,12.8
Butler County,13.2,9.4
Chase County,13.3,10.7
Chautauqua County,13.7,11.4
