FIPS Codes,County,percent (men)_2010,percent (women)_2010,percent (men)_2013,percent (women)_2013,Geographic area,Density_Population
31079,Harlan County,10.2,8.6,11.9,9.6,Harlan County,6.2
31081,Hayes County,10,8.2,11.2,8.5,Hayes County,1.4
31083,Hitchcock County,10.3,8.7,12.4,10.3,Hitchcock County,4.1
31085,Holt County,9.9,9.2,9.6,8.3,Holt County,4.3
31087,Hooker County,10.9,10,11.6,9.6,Hooker County,1
31089,Howard County,10.1,8.3,10.3,8.4,Howard County,11
31091,Jefferson County,10.7,8.8,12.7,11.4,Jefferson County,13.2
31093,Johnson County,8.8,9,9.1,9.4,Johnson County,13.9
31095,Kearney County,8.1,6.7,9.1,7.8,Kearney County,12.6
31097,Keith County,9.8,7.5,10.2,7.9,Keith County,7.9
31099,Keya Paha County,11.3,9.3,11.8,9.5,Keya Paha County,1.1
31101,Kimball County,10.9,9.3,11.4,9.7,Kimball County,4
31103,Knox County,9.3,8.5,10.7,10,Knox County,7.9
31105,Lancaster County,7.1,6.9,8,7.2,Lancaster County,340.8
31107,Lincoln County,9.5,8.6,11.1,9.4,Lincoln County,14.2
31109,Logan County,9.1,7.3,10.4,8.2,Logan County,1.3
31111,Loup County,11.5,9.9,12.5,9.7,Loup County,1.1
31113,McPherson County,10.5,8.2,11,9.2,McPherson County,0.6
31115,Madison County,8.1,7.9,9.6,9.3,Madison County,60.9
31117,Merrick County,10.6,9.4,12,10.1,Merrick County,16.2
31119,Morrill County,11.8,11,10.1,8.3,Morrill County,3.5
31121,Nance County,12,10.5,12,10.8,Nance County,8.5
31123,Nemaha County,9.2,8.7,10.7,9.4,Nemaha County,17.8
31125,Nuckolls County,10.3,8.7,10.5,8.4,Nuckolls County,7.8
31127,Otoe County,10.6,9.8,12.3,10.7,Otoe County,25.6
31129,Pawnee County,12.6,11.1,11.1,9.4,Pawnee County,6.4
31131,Perkins County,9.4,8.1,9.4,7.9,Perkins County,3.4
31133,Phelps County,10.1,9.2,10.5,9.4,Phelps County,17
31135,Pierce County,10.2,9.2,11.3,10.1,Pierce County,12.7
31137,Platte County,8.1,7.3,9.9,8.9,Platte County,47.8
31139,Polk County,10.9,9.7,10.1,7.9,Polk County,12.3
31141,Red Willow County,10.5,9,8.9,8,Red Willow County,15.4
31143,Richardson County,12.5,11.6,10.8,8.8,Richardson County,15.2
31145,Rock County,11.4,9.4,12.3,10.4,Rock County,1.5
31147,Saline County,9,8.1,8.9,8,Saline County,24.7
31149,Sarpy County,8.1,7.5,8.8,8,Sarpy County,664.6
31151,Saunders County,9.3,7.5,9.9,7.4,Saunders County,27.7
31153,Scotts Bluff County,11.2,9.2,10.9,10.2,Scotts Bluff County,50
31155,Seward County,9,7.8,8.3,7,Seward County,29.3
31157,Sheridan County,11.5,10.5,11.9,10.8,Sheridan County,2.2
31159,Sherman County,10,8.1,11.8,9.6,Sherman County,5.6
31161,Sioux County,9,7.2,9.1,7.3,Sioux County,0.6
31163,Stanton County,9.4,8.1,10.2,8.8,Stanton County,14.3
31165,Thayer County,12.7,11,11,9.4,Thayer County,9.1
31167,Thomas County,10.8,9.3,10.6,9.3,Thomas County,0.9
31169,Thurston County,14,16.1,15.2,18.3,Thurston County,17.6
31171,Valley County,12.7,10.5,13.1,10.1,Valley County,7.5
31173,Washington County,10,8.2,8.7,7.3,Washington County,51.9
31175,Wayne County,7.6,6.9,7.2,5.9,Wayne County,21.7
31177,Webster County,11.9,10.7,10.8,9.6,Webster County,6.6
31179,Wheeler County,10.5,9,10.2,8.3,Wheeler County,1.4
31181,York County,9.3,8.7,9.3,7.5,York County,23.9
31183,Churchill County,10.1,8,10.2,8.7,Churchill County,5
31185,Clark County,9.5,7.6,9.5,8.9,Clark County,247.3
32001,Douglas County,9.4,6.9,9.4,6.7,Douglas County,66.2
32003,Elko County,8.2,7.3,8.2,7.9,Elko County,2.8
32005,Esmeralda County,11.9,8.9,11.9,9.1,Esmeralda County,0.2
32007,Eureka County,9.6,7.5,9.4,7.7,Eureka County,0.5
32009,Humboldt County,7.8,6.2,7.4,6.1,Humboldt County,1.7
32011,Lander County,9.2,7.5,8.7,7,Lander County,1.1
32013,Lincoln County,9.7,8.3,10.2,8.8,Lincoln County,0.5
32015,Lyon County,10.6,8.6,10.3,8.2,Lyon County,26
32017,Mineral County,13.2,11,12.3,10.2,Mineral County,1.3
32019,Nye County,12,9.7,14,11,Nye County,2.4
32021,Pershing County,8.7,8.5,7.8,7.7,Pershing County,1.1
32023,Storey County,11,8.1,12.4,9.8,Storey County,15.3
32027,Washoe County,7.6,6.3,7.7,6.5,Washoe County,66.9
32029,White Pine County,8.7,7.9,9.3,9.2,White Pine County,1.1
32031,Carson City,9.4,8.5,8.6,7.7,Carson City,382.1
32033,Belknap County,10.7,8.1,11.7,9.5,Belknap County,150.1
32510,Carroll County,11,8.4,11.5,8.7,Carroll County,51.4
33001,Cheshire County,10.2,8,10,8.2,Cheshire County,109.1
33003,Coos County,11.2,9.3,12.4,12.3,Coos County,18.4
